CrunchBase Name,Name,Website,Description,Growth Score,Mindshare Score,Weekly Momentum,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,New Funding Employee Growth,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Interested,Alert,Custom List,Public List,Keywords,Has Mobile App,Has Google Play App,Has iTunes App,Date Added,crunchbase_uuid,type,primary_role,name,crunchbase_url,homepage_domain,homepage_url,profile_image_url,facebook_url,twitter_url,linkedin_url,stock_symbol,location_city,location_region,location_country_code,short_description,people
visible-world,Visible World,visibleworld.com,Visible World provides targeted television advertising solutions for brands and agencies.,448,397,-5,109,108,1,1%,101,8,8%,408,456,-11%,445,-8%,,,,,,107,42,905,27624.31,2000,C,"AB Global,Adams Street Partners,Comcast Ventures,Dawntreader Ventures,Edgewater,Grey Ventures,Leucadia National,RVC,SoundView Ventures,WPP Ventures,Western Technology Investment",$33.0MÂ ,4/14/08,"$25,000,000 ",New York,New York,New York,NY,United States,North America,B2B,"advertising,analytics,cleantech,hardware,hardware peripherals,marketing,marketing analytics,solar power",0,0,0,0,,No,No,No,4/4/13,33546495-2613-3aa7-87f0-8679c27c01cd,Organization,company,Visible World,https://www.crunchbase.com/organization/visible-world?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,visibleworld.com,http://visibleworld.com,https://www.crunchbase.com/organization/visible-world/primary-image/raw,http://www.facebook.com/VisibleWorldTV,http://twitter.com/Visible_World,http://www.linkedin.com/company/visible-world,:,New York,New York,USA,Visible World provides targeted television advertising solutions for brands and agencies.,
granular,Granular,granular.ag,"The business of production agriculture is increasingly complex. To grow in todayâ€™s challenging environment, every decision has to be the best decision. Granularâ€™s business software and analysis platform allows producers to improve efficiency, yields and profits. So they stay in control of their entire business â€“ down to the last field. Granular. Grow, Smarter.",197,128,0,66,66,0,0%,55,11,20%,"6,499","6,355",2%,"6,125",6%,,,,,,19,32,288,64930.56,2014,B,"Andreessen Horowitz,Emory Investment Management,Fall Line Capital ,Felicis Ventures,Google Ventures,H. Barton Asset Management,Khosla Ventures,Tao Capital Partners",$22.9MÂ ,7/22/15,"$18,700,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,SaaS","agriculture,analytics,human resources hr,mobile",0,0,0,0,cloud computing,No,No,No,2/24/14,c5aa191c-d202-4827-1fbb-8b8cca2e7284,Organization,company,Granular,https://www.crunchbase.com/organization/granular?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,granular.ag,http://granular.ag,https://www.crunchbase.com/organization/granular/primary-image/raw,http://www.facebook.com/pages/Granular/199217400286945,http://twitter.com/GranularAg,http://www.linkedin.com/company/granular,:,San Francisco,California,USA,Granular is a software and analytics platform that helps farmers operate more efficiently and make better business decisions.,
marfeel,Marfeel,marfeel.com,Marfeel is an advertising platform that allows users to create and optimize mobile websites.,197,93,0,64,60,4,7%,52,12,23%,"55,390","53,742",3%,"52,785",5%,,,,,,17,36,285,12280.7,2011,B,",Bertelsmann Digital Media Investments,Elaia Partners,Nauta Capital,SeedRocket,Wayra",$3.5MÂ ,10/13/15,"$3,500,000 ",Barcelona,Barcelona,,,Spain,Europe,B2B,"advertising,analytics,marketing,marketing analytics,media,mobile,publishing",0,0,0,0,"magazines,news,user experience,user experience design",No,No,No,4/4/13,8f028d22-a7b9-656a-757a-274f2be25e19,Organization,company,Marfeel,https://www.crunchbase.com/organization/marfeel?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,marfeel.com,http://www.marfeel.com,https://www.crunchbase.com/organization/marfeel/primary-image/raw,http://www.facebook.com/marfeel,http://twitter.com/marfeel,http://www.linkedin.com/company/marfeel,:,Barcelona,Catalonia,ESP,"Marfeel is an ad tech platform that revolutionizes the way publishers create, optimize and monetize mobile websites.",
northpage,NorthPage,northpage.com,NorthPage Digital Marketing Intelligence is trusted by CMOs at enterprises across 130 countries. Our comprehensive market and brand level performance assessments pinpoint opportunities to increase revenue and market share.,197,172,0,36,37,-1,-3%,38,-2,-5%,530,561,-6%,425,25%,,,,,,48,22,690,2173.91,2007,Late,Connecticut Innovations,$1.5MÂ ,3/14/13,"$1,500,000 ",Southbury,Southbury,,CT,United States,North America,B2B,"analytics,enterprise software,market research,marketing,marketing analytics",0,0,0,0,,No,No,No,6/14/13,0da3b0f8-9a69-2c38-87fe-941e18798400,Organization,company,NorthPage,https://www.crunchbase.com/organization/northpage?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,northpage.com,http://www.northpage.com,https://www.crunchbase.com/organization/northpage/primary-image/raw,,https://twitter.com/northpage,https://www.linkedin.com/company/northpage,:,Southbury,Connecticut,USA,NorthPage provides a cloud-based digital marketing optimization platform for enterprise marketing organizations.,
weather-analytics,Weather Analytics,weatheranalytics.com,"Weather Analytics is involved in finding, assembling, formatting and delivering weather data in easily accessible format.",197,149,4,54,52,2,4%,45,9,20%,833,800,4%,719,16%,,,,,,0,,,0,2005,B,"In-Q-Tel,Maryland Venture Fund,Tokio Marine Capital,W. R. Berkley Corporation",$19.3MÂ ,3/15/17,"$17,000,000 ",Bethesda,Bethesda,Washington D.C.,MD,United States,North America,B2B,"advertising,analytics,cleantech,finance,insurance",0,0,0,0,big data,No,No,No,7/29/13,a17ab287-4455-c369-93d7-c892707d0f52,Organization,company,Weather Analytics,https://www.crunchbase.com/organization/weather-analytics?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,weatheranalytics.com,http://weatheranalytics.com,https://www.crunchbase.com/organization/weather-analytics/primary-image/raw,,http://twitter.com/WeatherIntel,,:,Washington,District of Columbia,USA,"Weather Analytics is involved in finding, assembling, formatting and delivering weather data in easily accessible format.",
brainsway,Brainsway,brainsway.com,A new era in brain disorder treatment,199,199,682,48,46,2,4%,37,11,30%,534,661,-19%,687,-22%,,,,,,36,22,179,65921.79,2003,Exited (ipo),,$11.8MÂ ,3/11/14,"$11,800,000 ",Jerusalem,Jerusalem,,,Israel,Asia,B2B,"analytics,biotechnology,healthcare,human resources hr,medical devices,pharmaceuticals",0,0,0,0,,No,No,No,3/12/14,191a4723-d319-e8a4-0155-26aa90378ecf,Organization,company,Brainsway,https://www.crunchbase.com/organization/brainsway?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,brainsway.com,http://www.brainsway.com,https://www.crunchbase.com/organization/brainsway/primary-image/raw,https://www.facebook.com/brainswaydeeptms,http://twitter.com/Brainsway,http://www.linkedin.com/company/3253269,TLV:BRIN,Jerusalem,Yerushalayim,ISR,Brainsway's patented breakthrough technology launches a new era in brain disorder treatment.,
waterline-data-science,Waterline Data Science,waterlinedata.com,"Waterline automatically discovers, organizes, and surfaces the high-quality information scattered across your organization with an enterprise data catalog.",199,151,0,29,28,1,4%,27,2,7%,244,279,-13%,284,-14%,,,,,,13,13,105,152380.95,2013,B,"Deep Nishar,Infosys,Jackson Square Ventures,Menlo Ventures,Partech Ventures,Sigma Partners,Sigma West",$23.0MÂ ,2/11/16,"$16,000,000 ",Bay Area,Mountain View,Bay Area,CA,United States,North America,"B2B,SaaS,Subscription","analytics,data storage,enterprise software,finance,information security,marketing,marketing analytics,professional services,security,storage",0,0,0,0,,No,No,No,10/17/14,66eed431-44ef-af3e-7674-0fa0777a737a,Organization,company,Waterline Data,https://www.crunchbase.com/organization/waterline-data-science?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,waterlinedata.com,http://www.waterlinedata.com/,https://www.crunchbase.com/organization/waterline-data-science/primary-image/raw,http://www.facebook.com/pages/Waterline-Data-Science/652793674790031,http://twitter.com/waterlinedata,http://www.linkedin.com/company/waterline-data-science,:,Mountain View,California,USA,Waterline data lifecycle management software connects the right people the right data.,
genscape,Genscape,genscape.com,"Genscape provides energy market data and intelligence across the oil, power, natural gas and LNG, agriculture, petrochemical and NGLs, maritime, and renewables markets",200,200,1065,309,302,7,2%,270,39,14%,"17,858","18,827",-5%,"19,248",-7%,,,,,,,,,Undisclosed,1999,Exited (acquired),Chrysalis Ventures,$0Â ,,Undisclosed,Louisville,Louisville,,KY,United States,North America,B2B,"analytics,cleantech,data storage,marketing,marketing analytics,storage,wind power",0,0,0,0,,No,No,No,6/12/13,73e9e726-7acb-15cf-1f27-1540dbbf28e6,Organization,company,Genscape,https://www.crunchbase.com/organization/genscape?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,genscape.com,http://genscape.com,https://www.crunchbase.com/organization/genscape/primary-image/raw,http://www.facebook.com/GenscapeInc,http://twitter.com/genscape,https://www.linkedin.com/company/genscape-inc-,:,Louisville,Kentucky,USA,"Genscape, a DMGT company, is a leading global provider of energy information for commodity and financial markets.",
kenshoo,Kenshoo,kenshoo.com,Search engine marketing technology platform for automation of SEM campaigns,202,10,45,531,526,5,1%,516,15,3%,"488,033","484,173",1%,"470,463",4%,,,,,,35,145,3988,5015.05,2006,Late,"Arts Alliance Ventures,Digital Media Partners,Sequoia Capital,Tenaya Capital",$49.7MÂ ,4/9/14,"$20,000,000 ",Tel Aviv,Tel Aviv,,,Israel,Asia,B2B,"advertising,analytics,enterprise software,marketing,marketing analytics,media,search",0,0,0,0,social media,No,No,No,4/4/13,0c90679b-f1f1-1746-0dc3-d8547af02346,Organization,company,Kenshoo,https://www.crunchbase.com/organization/kenshoo?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,kenshoo.com,http://www.kenshoo.com,https://www.crunchbase.com/organization/kenshoo/primary-image/raw,http://www.facebook.com/Kenshoo,http://twitter.com/Kenshoo,http://www.linkedin.com/company/kenshoo,:,Tel Aviv,Tel Aviv,ISR,Kenshoo is the global leader in agile marketing software.,
trax-technologies,Trax Technologies,traxtech.com,Uses technology services to provide automation and scalability to freight carriers' data tracking in order to reduce material data defects causing financial problems.,202,6,112,385,384,1,0%,380,5,1%,420,487,-14%,474,-11%,,,,,,49,169,3064,3263.71,1993,Exited (acquired),"Capital Southwest Corporation,River Cities Capital Funds",$15.0MÂ ,2/14/13,"$10,000,000 ",Phoenix,Scottsdale,Phoenix,AZ,United States,North America,"B2B,Consulting","analytics,data storage,finance,human resources hr,storage,transportation",0,0,0,0,,No,No,No,4/4/13,c68c422c-7d33-9644-78e0-aab71da3ce2a,Organization,company,Trax Technologies,https://www.crunchbase.com/organization/trax-technologies?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,traxtech.com,https://www.traxtech.com,https://www.crunchbase.com/organization/trax-technologies/primary-image/raw,,http://twitter.com/TraxTech,http://www.linkedin.com/company/32425,:,Scottsdale,Arizona,USA,"Trax Technologies provides local strategic partnerships, financial and logistics services.",
sight-machine,Sight Machine,sightmachine.com,Sight Machine - The category leader for manufacturing analytics.,204,94,0,57,56,1,2%,43,14,33%,490,439,12%,186,163%,,,,,,11,31,267,50561.8,2012,B,"FundersClub,GE Ventures,Huron River Ventures,IA Ventures,Jump Capital,Mercury Fund,Michigan eLab,O'Reilly AlphaTech Ventures,Orfin Ventures,Pritzker Group Venture Capital,Two Roads Group",$18.5MÂ ,3/22/16,"$13,500,000 ",Bay Area,Ann Arbor,Bay Area,MI,United States,North America,"B2B,B2C,SaaS","analytics,automotive,cleantech,hardware,hardware peripherals,marketing,marketing analytics,wind power",0,0,0,0,"big data,manufacturing",No,No,No,7/9/13,7acc3d32-4bee-8677-31ca-12850b57e556,Organization,company,Sight Machine,https://www.crunchbase.com/organization/sight-machine?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,sightmachine.com,http://sightmachine.com,https://www.crunchbase.com/organization/sight-machine/primary-image/raw,https://www.facebook.com/pages/Sight-Machine/124076604273563,https://twitter.com/sightmachine,https://www.linkedin.com/company/sight-machine,:,San Francisco,California,USA,Sight Machine is the category leader for manufacturing analytics,
branch-metrics,Branch Metrics,branch.io,"Number 1 in deep linking. Integrate robust, durable links into email, SEM, ads and other traditional marketing channels for improved app growth. Get started.",205,-226,0,174,164,10,6%,101,73,72%,25,26,-4%,69,-64%,,,,,,13,120,845,41420.12,2014,B,"Ben Narasin,Cowboy Ventures,Founders Fund,Madrona Venture Group,New Enterprise Associates,Pear.vc,TriplePoint Capital",$53.0MÂ ,1/27/16,"$35,000,000 ",Bay Area,Palo Alto,Bay Area,CA,United States,North America,B2B,"analytics,developer tools,enterprise software,marketing,mobile",0,0,0,0,,Yes,Yes,Yes,8/11/14,b082d5ec-c88d-da6a-26ac-6833277bf34c,Organization,company,Branch,https://www.crunchbase.com/organization/branch-metrics?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,branch.io,https://branch.io,https://www.crunchbase.com/organization/branch-metrics/primary-image/raw,http://www.facebook.com/branchmetrics,http://twitter.com/branchmetrics,http://www.linkedin.com/company/branch-metrics,:,Palo Alto,California,USA,"Branch helps mobile apps grow with deep links that power referral systems, sharing links, and invites with full attribution and analytics.",
skimbox,Skimbox,skimbox.co,Skimbox is an SEO Agency & Digital Marketing Company in India. Best internet marketing and content creation service by experts. Now smartly grow your,205,205,539,2,2,0,0%,2,0,0%,3,2,50%,2,50%,,"3,299",,"3,299",,,,,Undisclosed,2012,Exited (other),,Undisclosed,,Undisclosed,Boston,Watertown,Boston,MA,United States,North America,B2C,"analytics,email,enterprise software,marketing,marketing analytics,mobile",0,0,0,0,ios,Yes,No,Yes,8/31/13,d20f7bd8-0ca1-0ff6-3fcd-3bd1ffb11103,Organization,company,Skimbox,https://www.crunchbase.com/organization/skimbox?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,skimbox.co,http://skimbox.co,https://www.crunchbase.com/organization/skimbox/primary-image/raw,,http://www.twitter.com/Riparian_Data,http://www.linkedin.com/company/riparian-data,:,Watertown,New York,USA,Skimbox offers an app that uses artificial intelligence and interactive design to help mobile workers avoid email overload.,
atscale,AtScale,atscale.com,The world's first OLAP server for Hadoop,206,40,0,65,65,0,0%,48,17,35%,"5,807","5,573",4%,"3,901",49%,,,,,,10,35,242,45454.55,2013,B,"AME Cloud Ventures,Comcast Ventures,Storm Ventures,UMC Capital,XSeed Capital",$20.0MÂ ,5/16/16,"$11,000,000 ",Bay Area,San Mateo,Bay Area,CA,United States,North America,"B2B,SaaS","analytics,data storage,software development,storage",0,0,0,0,data analysis,No,No,No,7/7/14,cc79ecff-fe86-0962-de34-2b25c16136f1,Organization,company,AtScale,https://www.crunchbase.com/organization/atscale?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,atscale.com,http://atscale.com/,https://www.crunchbase.com/organization/atscale/primary-image/raw,https://www.facebook.com/atscale,https://twitter.com/atscaleinc,https://www.linkedin.com/company/atscale-inc-,:,San Mateo,California,USA,AtScale makes Hadoop work for Business Intelligence,
