Name,Website,Description,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Keywords,Has Mobile App,Has Google Play App,Has iTunes App
Cross Mediaworks,cross-mediaworks.com,Cross MediaWorks is a multiplatform media firm that manages an array of media on a targeted and measured basis.,196,199,-3,-2%,201,-5,-2%,22,5,340%,3,633%,,,,,,91,149,3891,,Late,"BIA Digital Partners,Spring Capital Partners",$17.0M¾,7/30/09,"$17,000,000 ",Philadelphia,Philadelphia,Philadelphia,PA,United States,North America,B2B,"advertising,analytics,e-commerce,marketing,marketing analytics,media",,No,No,No
crosscan GmbH,crosscan.com,"Real-time business intelligence data solutions for retail: People counting in stores, Route tracking, Purchase + Visitor History, Electronic Shelf Labeling",12,11,1,9%,,,,"1,428","1,381",3%,"1,343",6%,,,,,,,,,2001,Exited (acquired),,Undisclosed,,Undisclosed,Witten,Witten,,,Germany,Europe,,"analytics,internet of things,marketing,marketing analytics,retail",public safety,Yes,Yes,No
CROSSROADS SYSTEMS,crossroads.com,Crossroads Systems is a global provider of customer-driven data archive solutions.,139,139,0,0%,136,3,2%,"1,945","1,718",13%,"1,535",27%,,,,,,43,-22,515,1996,Exited (ipo),Fortress Investment Group,$21.6M¾,7/25/13,"$10,000,000 ",Austin,Austin,Austin,TX,United States,North America,B2B,"analytics,data storage,physical storage,storage",,No,No,No
CrowdRadar Pte. Ltd.,crowdradar.sg,,4,4,0,0%,,,,14,14,0%,16,-13%,,,,,,,,,2014,Exited (other),,Undisclosed,,Undisclosed,Singapore,Singapore,,,Singapore,Asia,B2B,"advertising,analytics,mobile","big data,mobile advertising",No,No,No
CrowdSporting,crowdsporting.com,,0,1,-1,-100%,1,-1,-100%,2,3,-33%,7,-71%,,,,,,,,,2014,Exited (other),,Undisclosed,,Undisclosed,Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,B2C","analytics,entertainment,gaming,mobile","big data,fantasy sports,sports",No,No,No
CrowdTwist,crowdtwist.com,CrowdTwist is an industry-leading provider of comprehensive multichannel loyalty and analytics solutions.,59,62,-3,-5%,57,2,4%,"7,656","7,065",8%,"7,367",4%,,,,,,32,20,303,2009,B,"Bertelsmann Digital Media Investments,Bob Pasker,BoxGroup,Fairhaven Capital Partners,NYC 2011 Winter,SoftBank Capital,StarVest Partners,Techstars,kbs+ Ventures",$15.8M¾,6/26/14,"$9,000,000 ",New York,New York,New York,NY,United States,North America,B2B,"advertising,analytics,enterprise software,finance,human resources hr,marketing,marketing analytics,media,music,publishing,retail","art,consumer goods,loyalty / rewards,travel",No,No,No
CSS Corp,csscorp.com,"CSS Corp is a leading technology support company supporting enterprise and consumer products & managing IT infrastructure (stand alone, cloud or mobile enabled).","5,120","5,145",-25,0%,"5,159",-39,-1%,"148,765","169,938",-12%,"169,871",-12%,,,,,,119,1651,33004,1996,Exited (acquired),"Barings Equity Partners,Deutsche Bank,Goldman Sachs,SAIF Partners,Sierra Ventures",$47.0M¾,4/17/07,"$25,000,000 ",Bangalore,Bangalore,Bay Area,,India,Asia,B2B,"analytics,customer support,data storage,information security,marketing,marketing analytics,security,storage,telecommunications","css,outsourcing",No,No,No
Culture Amp,cultureamp.com,"Optimize your employee survey experience through simple, intuitive UX and intelligence analytics. Engagement, Recruitment, Onboarding and Exit surveys - all on one platform.",109,105,4,4%,93,16,17%,"255,509","235,823",8%,"248,015",3%,,,,,,12,50,426,2010,B,"Blackbird Ventures,Felicis Ventures,Index Ventures",$16.3M¾,3/7/16,"$10,000,000 ",Melbourne,Melbourne,,,Australia,Oceania,"B2B,SaaS","analytics,enterprise software,human resources hr",verifiedga,No,No,No
Curalate,curalate.com,"Monetize your best assets: your images. Curalate's visual marketing solutions link visual content with commerce, driving revenue.",163,161,2,1%,146,17,12%,"323,915","325,322",0%,"328,469",-1%,,,,,,13,59,510,2011,C,"First Round Capital,Gary Vaynerchuk,MentorTech Ventures,New Enterprise Associates,Vayner RSE (RSE Ventures)",$39.9M¾,2/4/16,"$27,500,000 ",Philadelphia,Philadelphia,Philadelphia,PA,United States,North America,"B2B,Direct Sales","analytics,enterprise software,marketing,marketing analytics",,No,No,No
Cvent,cvent.com,"Cvent provides online software for Event Management, Web Surveys, & Email Marketing as well as a global event venue directory with over 150,000 venues.","1,920","1,868",52,3%,"1,640",280,17%,"2,016,177","2,002,696",1%,"1,946,481",4%,,65,,65,,62,825,12025,1999,Exited (acquired),"Greenspring Associates,Insight Venture Partners,New Enterprise Associates",$136.9M¾,1/17/12,"$911,999 ",Tysons Corner,Tysons Corner,Washington D.C.,VA,United States,North America,"B2B,SaaS","analytics,data storage,enterprise software,human resources hr,marketing,marketing analytics,storage,travel",,Yes,No,Yes
Dailey Media,daileymedia.com,Dailey Media is a Full Service Media & Marketing Firm in Southwest Florida specializing in traditional marketing and social media marketing platforms.,,,,,,,,,,,,,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,,,,,,,,"analytics,marketing,marketing analytics",,No,No,No
Darktrace,darktrace.com,"Darktrace is one of the world's fastest-growing cyber threat defense companies and the leader in Enterprise Immune System technology. Darktrace detects previously unknown threats in real time using advanced machine learning and mathematics developed at the University of Cambridge to analyze the behavior of every device, user and network within an organization.",323,314,9,3%,235,88,37%,"10,025","8,620",16%,"5,072",98%,,,,,,8,128,675,2013,C,"Hoxton Ventures,Invoke Capital,KKR,SoftBank Capital,Summit Partners,Talis Capital,Ten Eleven Ventures",$105.5M¾,7/5/16,"$65,000,000 ",Cambridge,Cambridge,,,United Kingdom,Europe,B2B,"analytics,enterprise software,hardware,hardware peripherals,healthcare,information security,pharmaceuticals,security",,No,No,No
Datadog,datadoghq.com,"See inside any stack, any app, at any scale, anywhere.",293,283,10,4%,224,69,31%,"498,569","484,223",3%,"434,320",15%,,,,,,14,154,1277,2010,Late,"Amplify Partners,Contour Venture Partners,IA Ventures,Iconiq Capital,Index Ventures,NYC Seed,Neu Venture Capital,OpenView Venture Partners,RRE Ventures,RTP Ventures",$147.9M¾,1/12/16,"$94,500,000 ",New York,New York,New York,NY,United States,North America,"B2B,SaaS","analytics,cloud computing,data storage,enterprise software,human resources hr,information security,security,storage",,No,No,No
Datadyne,datadyne.org,"Magpi provides tools for mobile data collection, messaging, & visualization to let you gather data, manage teams, and much more - all without programming",8,8,0,0%,10,-2,-20%,18,18,0%,18,0%,,63,,63,,,,,2003,Exited (other),,Undisclosed,,Undisclosed,Washington D.C.,Washington D.C.,Washington D.C.,DC,United States,North America,B2B,"analytics,enterprise software,healthcare,human resources hr,marketing,marketing analytics,mobile",supply chain,Yes,No,Yes
Datahero,datahero.com,"DataHero is software as a service thatês designed to enable non-technical business users to build charts and graphs from a variety of pre-defined data sources such as Salesforce.com, Eventbrite or Box, among others.",20,20,0,0%,14,6,43%,"104,050","118,524",-12%,"158,792",-34%,,,,,,22,6,22,2011,Exited (acquired),"Dave Kellogg,Foundry Group,Mayank Bawa,Mike Greenfield,Neu Venture Capital,Tasso Argyros,Techstars,Techstars Ventures",$10.3M¾,5/19/15,"$6,100,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,SaaS","analytics,data storage,finance,human resources hr,information security,marketing,marketing analytics,security,storage","big data,business intelligence,data visualization",No,No,No
Dataiku,dataiku.com,"Dataiku is the developer of DSS, the integrated development platform for data professionals to turn raw data into predictions.",81,79,2,3%,66,15,23%,"10,787","11,084",-3%,"12,118",-11%,,,,,,4,17,41,2013,B,"Alven Capital,FirstMark Capital,Serena Capital",$17.6M¾,10/25/16,"$14,000,000 ",Paris,Paris,,,France,Europe,B2B,"analytics,marketing,marketing analytics",big data,No,No,No
Datameer,datameer.com,"Datameer's end-to-end big data analytics platform for Hadoop empowers businesses to directly integrate, analyze, and visualize data. Visit us to learn more.",206,208,-2,-1%,226,-20,-9%,"86,416","87,563",-1%,"62,171",39%,,,,,,19,50,879,2009,Late,"Citi Ventures,Kleiner Perkins Caufield & Byers,Next World Capital,Redpoint Ventures,Software AG,Top Tier Capital Partners",$76.8M¾,8/18/15,"$40,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"analytics,data storage,enterprise software,finance,human resources hr,marketing,marketing analytics,storage","big data,data visualization,hadoop",No,No,No
Dataminr,dataminr.com,Real-Time Social Media Analytics,214,211,3,1%,233,-19,-8%,"36,627","41,445",-12%,"35,684",3%,,,,,,24,68,1136,2009,Late,"Andreas Wuerfel,BoxGroup,Credit Suisse,Deep Fork Capital,Expansion Venture Capital,Faber Ventures,Fidelity Investments,GSV Capital,Gary Vaynerchuk,Glynn Capital Management,Goldman Sachs,Institutional Venture Partners (IVP),Venrock,Wellington Management,WorldQuant",$177.6M¾,3/17/15,"$130,000,000 ",New York,New York,New York,NY,United States,North America,B2B,"analytics,enterprise software,finance,human resources hr",pioneer250,No,No,No
DataRobot,datarobot.com,The most advanced machine learning platform built by the world's best data scientists,157,154,3,2%,135,22,16%,"17,297","16,635",4%,"15,787",10%,,,,,,13,44,303,2012,B,"Accomplice Venture Capital,Atlas Venture,Cloud 2013 Winter,IA Ventures,Intel Capital,New Enterprise Associates,Techstars",$57.4M¾,2/11/16,"$33,000,000 ",Boston,Boston,,,United States,North America,"B2B,Marketplace","analytics,data storage,enterprise software,human resources hr,information security,marketing,marketing analytics,security,storage","big data,business intelligence",No,No,No
DataTorrent,datatorrent.com,DataTorrent provides the industry's only open source big data analytics platform for batch processing and real-time streaming. Schedule a free consultation!,51,52,-1,-2%,49,2,4%,"3,170","3,920",-19%,"5,867",-46%,,,,,,22,25,226,2012,B,"AME Cloud Ventures,August Capital,GE Ventures,Morado Venture Partners,SingTel Innov8",$23.8M¾,4/28/15,"$15,000,000 ",Bay Area,Santa Clara,Bay Area,CA,United States,North America,B2B,"advertising,analytics,data storage,enterprise software,finance,information security,marketing,marketing analytics,security,storage","analytics,big data",No,No,No
Datavail,datavail.com,"Delivers database managed services, including database administration, staffing and emergency support to nearly 300 mid-sized to Fortune 100 businesses.",432,426,6,1%,378,54,14%,"3,380","3,130",8%,"2,822",20%,,,,,,15,135,702,2007,Late,"Boulder Ventures,Catalyst Investors,Lumerity Capital Partners,Meritage Funds,Montis Capital,Tahosa Capital",$58.6M¾,12/16/15,"$47,000,000 ",Denver,Broomfield,Denver,CO,United States,North America,"B2B,Consulting","analytics,data storage,enterprise software,hardware,human resources hr,information security,network / hosting / infrastructure,security,storage","databases,mysql,oracle",No,No,No
Datawatch,datawatch.com,Use Datawatch's self-service data preparation and visualization tools to bridge the gap between business and IT.,215,215,0,0%,218,-3,-1%,"13,767","15,026",-8%,"14,710",-6%,,,,,,37,17,272,1985,Exited (ipo),,$57.5M¾,2/19/14,"$57,500,000 ",Boston,Bedford,Boston,MA,United States,North America,B2B,"analytics,data storage,finance,human resources hr,internet of things,marketing,marketing analytics,storage",,No,No,No
Datorama,datorama.com,The best of Big Data technology applied to Marketing,180,171,9,5%,130,50,38%,"252,633","242,447",4%,"222,974",13%,,,,,,6,51,198,2012,C,"Cedar Fund,Innovation Endeavors,Lightspeed Venture Partners,Marker,Marker LLC",$50.0M¾,9/12/16,"$32,000,000 ",New York,New York,New York,NY,United States,North America,"B2B,SaaS","analytics,e-commerce,marketing,marketing analytics","big data,social media marketing",No,No,No
Dealer,dealer-fx.com,Process automation software for auto dealership service departments,219,208,11,5%,157,62,39%,,,,,,,,,,,19,141,1125,,Late,HGGC,$0¾,7/29/15,Undisclosed,Las Vegas,Las Vegas,Las Vegas,NV,United States,North America,B2B,"advertising,analytics,automotive,marketing,marketing analytics",,No,No,No
Dealer.com,dealer.com,"Dealer.com offers the best in Automotive marketing and operations tools, support, and services: Advertising, Websites, Inventory, SEO for car dealerships.","1,285","1,272",13,1%,"1,207",78,6%,"793,911","788,581",1%,"746,437",6%,,,,,,66,648,17820,1997,Exited (acquired),"Accel Partners,Apax Partners,Klass Capital",$5.0M¾,8/25/11,Undisclosed,Burlington,Burlington,,VT,United States,North America,"B2B,Consulting,Lead Generation","advertising,analytics,automotive,enterprise software,marketing,marketing analytics,media,software development","brand marketing,cms,sales,social media",No,No,No
Definiens,definiens.com,Definiens is the Tissue Phenomics leader for diagnostics development in oncology.,95,93,2,2%,82,13,16%,185,206,-10%,424,-56%,,,,,,32,19,133,1994,Exited (acquired),"Cipio Partners,Gilde Healthcare Partners,TVM Capital",$16.5M¾,6/23/14,"$16,500,000 ",Munich,Munich,,,Germany,Europe,B2B,"analytics,biotechnology,healthcare,medical devices,medical diagnostics,pharmaceuticals",,No,No,No
Delphix,delphix.com,"Delphix delivers virtual data on demand, transforming slow, complex, and expensive data management into fast, secure, and automatic data delivery. The Delphix Virtual Data Platform quickly and automatically delivers the right data to the right team at the right time, instead of relying on complex processes and multiple IT teams to manually move data from system to system.",445,449,-4,-1%,453,-8,-2%,"24,818","27,431",-10%,"29,361",-15%,,,,,,20,127,2237,2008,Late,"Battery Ventures,Credit Suisse,Fidelity Investments,Greylock Partners,Icon Ventures (formerly Jafco Ventures),In-Q-Tel,Kraft Group,Lightspeed Venture Partners,NEXT Investors,Summit Partners",$119.5M¾,7/13/15,"$75,000,000 ",Bay Area,Redwood City,Bay Area,CA,United States,North America,"B2B,SaaS","analytics,data storage,enterprise software,finance,information security,security,storage",,No,No,No
Delta Airlines,delta.com,"Delta Air Lines, a leader in domestic and international travel, offers airline tickets & flights to over 300 destinations in 60 countries. Book direct at Delta.com.","36,361","35,640",721,2%,"32,024","4,337",14%,"7,901,488","7,904,212",0%,"7,904,019",0%,"31,058","30,972",0%,"31,613",-2%,,,,1928,Exited (ipo),,Undisclosed,,Undisclosed,Atlanta,Atlanta,Atlanta,GA,United States,North America,B2C,"analytics,e-commerce,passenger transport,transportation","fortune 500,travel",Yes,No,Yes
Deluxe Corp,deluxe.com,Deluxe partners with small businesses and financial institutions to accelerate growth. Learn more about Deluxe marketing services and checks here.,"4,214","4,244",-30,-1%,"4,396",-182,-4%,"682,370","676,533",1%,"666,617",2%,,,,,,,,,1915,Exited (ipo),,Undisclosed,,Undisclosed,Minneapolis,Shoreview,Minneapolis,MN,United States,North America,Consulting,"analytics,e-commerce,finance,human resources hr,marketing,marketing analytics",,No,No,No
Demandware,demandware.com,"With the industry's most agile and scalable ecommerce platform, Commerce Cloud enables an ecommerce strategy that drives growth.",914,896,18,2%,805,109,14%,"425,358","435,770",-2%,"424,198",0%,,,,,,83,583,8855,2004,Exited (acquired),"General Catalyst Partners,North Bridge",$28.1M¾,4/14/10,"$7,000,000 ",Boston,Burlington,Boston,MA,United States,North America,B2B,"analytics,data storage,e-commerce,enterprise software,information security,marketing,marketing analytics,retail,security,storage",,No,No,No
Destroyer,destroyer.com,,5,3,2,67%,2,3,150%,98,121,-19%,446,-78%,,,,,,,,,2015,Exited (other),,Undisclosed,,Undisclosed,Los Angeles,Los Angeles,Los Angeles,CA,United States,North America,"B2B,B2C,Events","analytics,media,mobile,music",,No,No,No
Digital Fusion,digitalfusion.com,"Headquartered in Denver, Colorado, Digital Fusion is a leading digital agency and top Salesforce partner. Call us at 720.963.8000 or visit digitalfusion.com",27,29,-2,-7%,37,-10,-27%,248,214,16%,158,57%,,,,,,,,,2009,Exited (ipo),,Undisclosed,,Undisclosed,Denver,Denver,Denver,CO,United States,North America,,"advertising,analytics,email,marketing,marketing analytics",,No,No,No
